title;artist;album;isrc;addedDate;addedBy;duration;url
"Merry Christmas All (feat. Ariana Savalas)";"Vincent Ingala";Christmas;USHM81639389;;;174s;http://www.tidal.com/track/66809017
"Sleigh Ride";"Vincent Ingala";Christmas;USHM81639390;;;196s;http://www.tidal.com/track/66809018
"Merry Christmas Darling";"Vincent Ingala";Christmas;USHM81639391;;;198s;http://www.tidal.com/track/66809019
"The True Meaning of Christmas (feat. Justin Shandor)";"Vincent Ingala";Christmas;USHM81639392;;;201s;http://www.tidal.com/track/66809020
"My Favorite Things";"Vincent Ingala";Christmas;USHM81639393;;;224s;http://www.tidal.com/track/66809021
"Mary, Did You Know?";"Vincent Ingala";Christmas;USHM81639394;;;201s;http://www.tidal.com/track/66809022
"Have Yourself a Merry Little Christmas (feat. Steve Oliver)";"Vincent Ingala";Christmas;USHM81639395;;;230s;http://www.tidal.com/track/66809023
"Personal Touch";"Vincent Ingala";"Personal Touch";US7SF1856570;;;224s;http://www.tidal.com/track/86554791
"My Kind Of Day";"Vincent Ingala";"Personal Touch";US7SF1856571;;;234s;http://www.tidal.com/track/86554792
"Love Zone";"Vincent Ingala";"Personal Touch";US7SF1856572;;;241s;http://www.tidal.com/track/86554793
"Dream Girl";"Vincent Ingala";"Personal Touch";US7SF1856573;;;249s;http://www.tidal.com/track/86554794
"I Think I'm Falling In Love (With You)";"Vincent Ingala";"Personal Touch";US7SF1856574;;;278s;http://www.tidal.com/track/86554795
"If You Were Here Tonight";"Vincent Ingala";"Personal Touch";US7SF1856575;;;219s;http://www.tidal.com/track/86554796
"Feng Sway";"Vincent Ingala";"Personal Touch";US7SF1856576;;;218s;http://www.tidal.com/track/86554797
"Can't Stop The Rain From Falling";"Vincent Ingala";"Personal Touch";US7SF1856577;;;233s;http://www.tidal.com/track/86554798
"Snap, Crackle, Pop";"Vincent Ingala";"Personal Touch";US7SF1856578;;;228s;http://www.tidal.com/track/86554799
"Not Meant To Be";"Vincent Ingala";"Personal Touch";US7SF1856579;;;244s;http://www.tidal.com/track/86554800
"Coast to Coast";"Vincent Ingala";"Coast to Coast";USCGJ1526390;;;266s;http://www.tidal.com/track/46404923
Nasty;"Vincent Ingala";"Coast to Coast";USCGJ1526391;;;232s;http://www.tidal.com/track/46404924
"Making the Journey";"Vincent Ingala";"Coast to Coast";USCGJ1526392;;;278s;http://www.tidal.com/track/46404925
"Baby I'm Hooked (Right Into Your Love)";"Vincent Ingala";"Coast to Coast";USCGJ1526393;;;231s;http://www.tidal.com/track/46404926
"When I'm With You";"Vincent Ingala";"Coast to Coast";USCGJ1526394;;;230s;http://www.tidal.com/track/46404927
"Love On Hold";"Vincent Ingala";"Coast to Coast";USCGJ1526395;;;227s;http://www.tidal.com/track/46404928
"You Fooled Me";"Vincent Ingala";"Coast to Coast";USCGJ1526396;;;238s;http://www.tidal.com/track/46404929
"In Deep";"Vincent Ingala";"Coast to Coast";USCGJ1526397;;;235s;http://www.tidal.com/track/46404930
"Gimme Some";"Vincent Ingala";"Coast to Coast";USCGJ1526398;;;237s;http://www.tidal.com/track/46404931
"T.L.C. (Tender Lovin' Care)";"Vincent Ingala";"Coast to Coast";USCGJ1526399;;;216s;http://www.tidal.com/track/46404932
"Can't Stop Now";"Vincent Ingala";"Can't Stop Now";QMNTT1200001;;;255s;http://www.tidal.com/track/29440414
"If I Could Fly";"Vincent Ingala";"Can't Stop Now";QMNTT1200002;;;257s;http://www.tidal.com/track/29440415
"Read Between the Lines";"Vincent Ingala";"Can't Stop Now";QMNTT1200003;;;263s;http://www.tidal.com/track/29440416
"Wish I Was There";"Vincent Ingala";"Can't Stop Now";QMNTT1200004;;;259s;http://www.tidal.com/track/29440417
